User age ;40;;;
User gender;MALE;;;
"User education level
";Highest;;;"
"
Song;"Time of the day
";Activity;Mood;Location
Guns n Roses - Patience ;Midday;Working;Calm;Work
Extreme - More than words;Midday;Working;Calm;Work
Eagles - Hotel California;Midday;Working;Calm;Work
Bon Jovi - Dead or alive;Midday;Working;Calm;Work
Bon Jovi - Blaze of glory;Midday;Working;Calm;Work
Marit Larsen - If a song could get me you;Midday;Working;Calm;Work
Metallica - Nothing else matters;Midday;Working;Calm;Work
4 non blondes - What's up;Midday;Working;Calm;Work
Meat Loaf - I'd do anything for love;Midday;Working;Calm;Work
Led Zeppelin - Stairway to heaven;Midday;Working;Calm;Work
Twisted sister - The price;Midday;Working;Calm;Work
Dire Straits - Sultans of swing;Midday;Working;Calm;Work
ZZ Top - Sharp dressed man;Midday;Working;Calm;Work
Metallica - Whiskey in the jar;Night;ammusing;Peaceful;Home
Metallica - Unforgiven;Night;ammusing;Peaceful;Home
Led Zeppelin - Kashmir;Night;ammusing;Peaceful;Home
Led Zeppelin - Immigrant song;Night;ammusing;Peaceful;Home
Led Zeppelin - Black dog;Night;ammusing;Peaceful;Home
Led Zeppelin - Rock and roll;Night;ammusing;Peaceful;Home
The Doors - Riders on the storm;Night;ammusing;Peaceful;Home
Deep Purple - Perfect strangers;Night;ammusing;Peaceful;Home
Twisted Sister - We 're not gonna take it;Night;ammusing;Peaceful;Home
Twisted sister - I wanna rock;Night;ammusing;Peaceful;Home
AC DC - Back in black;Night;ammusing;Peaceful;Home
AC DC - You shook me all night long;Night;ammusing;Peaceful;Home
Iron Maiden - Fear of the dark;Morning;ammusing;Calm;Home
Iron Maiden - Hallowed be thy name;Morning;ammusing;Calm;Home
Iron Maiden - Wasted years;Morning;ammusing;Calm;Home
Iron Maiden - Aces high;Morning;ammusing;Calm;Home
Iron Maiden - Run to the hills;Morning;ammusing;Calm;Home
Iron Maiden - The trooper;Morning;ammusing;Calm;Home
Iron Maiden - 2 minutes to midnight;Morning;ammusing;Calm;Home
Metallica - Enter sandman;Morning;ammusing;Calm;Home
Metallica - Sad but true;Morning;ammusing;Calm;Home
Metallica - Blackened;Morning;ammusing;Calm;Home
Metallica - Master of puppets;Morning;ammusing;Calm;Home
Metallica - Wherever I may roam;Morning;ammusing;Calm;Home
Metallica - Seek & destroy;Morning;ammusing;Calm;Home
AC DC - Thunderstruck;Morning;ammusing;Calm;Home
AC DC - Highway to hell;Morning;ammusing;Calm;Home
AC DC - Hells Bells;Morning;ammusing;Calm;Home
AC DC - TNT;Morning;ammusing;Calm;Home
Motorhead  - Ace of spades;Morning;ammusing;Calm;Home
Motorhead - Eat the rich;Morning;ammusing;Calm;Home
Motorhead - Killed by death;Morning;ammusing;Calm;Home
Black Sabbath - Paranoid;Morning;ammusing;Calm;Home
Firewind - Head up high;Morning;ammusing;Calm;Home
Dragonforce - Through the fire and flames;Morning;ammusing;Calm;Home
Steppenwolf - Born to be wild;Midday;driving;Excited;Outdoor
George Thorogood - Bad to the bone;Midday;driving;Excited;Outdoor
Ram Jam - Black Betty;Midday;driving;Excited;Outdoor
Deep Purple - Smoke on the water;Midday;driving;Excited;Outdoor
The Clash - Should I stay or should I go;Midday;driving;Excited;Outdoor
Motorhead - You better run;Midday;driving;Excited;Outdoor
Motorhead - Louie louie;Midday;driving;Excited;Outdoor
Gone Jackals - Legacy;Midday;driving;Excited;Outdoor
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
