User age ;;;;
User gender;;;;
"User education level
";"Select
";;;"
"
Song;"Time of the day
";Activity;Mood;Location
Spiderbait - Black Betty;Morning;working out;Excited;Outdoor
AC/DC - Hells Bells;Morning;ammusing;Relaxed;Home
Guns N' Roses - Welcome To The Jungle;Morning;ammusing;Calm;Home
Pegboard Nerds - Swamp Thing;Morning;working out;Nervous;Outdoor
Ed Sheeran - Galway Girl;Morning;commuting;Peaceful;Outdoor
KONGOS - Come with Me Now;Morning;Working;Relaxed;Work
K/DA - POP/STARS;Morning;Gaming;Relaxed;Home
Imagine Dragons - Radioactive;Morning;Gaming;Bored;Home
Ημισκούμπρια - Πάμε Όλοι Μαζί Σε Μια Παραλία;Morning;commuting;Sleepy;Outdoor
Pegboard Nerds - Hero;Midday;studing;Excited;Home
Coolio - Gangsta's Paradise;Midday;Working;Nervous;Work
Roundtable Rival - Lindsey Stirling;Midday;Working;Relaxed;Work
Twice - Likey;Midday;Working;Bored;Work
Chuck Berry - Johnny B Goode;Midday;ammusing;Peaceful;Home
Ikimono Gakari - Blue Bird;Midday;studing;Pleased;Home
Lukas Graham - 7 Years;Afternoon;Working;Calm;Work
Bruno Mars - 24K Magic;Afternoon;Working;Bored;Work
Mark Ronson - Uptown Funk;Afternoon;commuting;Bored;Outdoor
Maroon 5 - Moves Like Jagger;Afternoon;commuting;Annoying;Outdoor
The Who - Baba O'Riley;Afternoon;Working;Pleased;Work
Nobodyknows+ - Hero's Come Back;Afternoon;studing;Annoying;Home
Michael Jackson - Beat It;Afternoon;working out;Angry;Home
Undertale - Megalovania;Afternoon;Gaming;Excited;Home
Warriors (ft. Imagine Dragons);Afternoon;Gaming;Pleased;Home
Bleed It Out - Linkin Park;Afternoon;commuting;Angry;Outdoor
Earth Angel - Marvin Berry & The Starlighters;Night;ammusing;Sleepy;Home
That's Life - Frank Sinatra;Night;ammusing;Calm;Home
Black Sabbath - Iron Man;Night;ammusing;Nervous;Home
Rag'n'Bone Man - Human;Night;ammusing;Sad;Home
Φυσικη Ιστορια - Τζιμης Πανουσης;Night;ammusing;Bored;Home
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
;Select;Select;Select;"Select
"
