User,spot_danceability,spot_energy,spot_loudness,spot_speechiness,spot_acousticness,spot_instrumentalness,spot_liveness,spot_valence,Class
2,0.277,0.242,-18.442,0.0342,0.694,0.464,0.113,0.285,sleepy_at_work_while_working
2,0.219,0.809,-6.892,0.035,0.00533,0.00297,0.885,0.177,calm_at_work_while_working
2,0.474,0.887,-3.9,0.0462,0.000788,0.00778,0.393,0.367,calm_at_work_while_working
2,0.45,0.981,-4.431,0.093,0.00107,6.44e-05,0.966,0.0967,calm_at_work_while_working
2,0.511,0.937,-5.692,0.0763,0.0241,2.53e-06,0.914,0.372,calm_at_work_while_working
2,0.399,0.681,-10.399,0.0431,0.295,0.000269,0.156,0.343,calm_at_work_while_working
2,0.394,0.873,-7.097,0.0594,0.000518,0.000158,0.277,0.25,calm_at_work_while_working
2,0.648,0.841,-4.322,0.212,0.31,0,0.136,0.624,relaxed_at_work_while_working
2,0.854,0.784,-5.176,0.402,0.17,0,0.352,0.674,relaxed_at_work_while_working
2,0.778,0.719,-7.689,0.393,0.136,6.46e-05,0.109,0.655,relaxed_at_work_while_working
2,0.841,0.51,-9.626,0.191,0.0901,3.51e-05,0.0793,0.547,relaxed_at_work_while_working
2,0.845,0.701,-5.111,0.209,0.0859,0.00232,0.494,0.647,relaxed_at_work_while_working
2,0.683,0.648,-7.332,0.188,0.000693,6.29e-06,0.0693,0.532,relaxed_at_work_while_working
2,0.858,0.62,-5.331,0.129,0.0532,0,0.0633,0.674,relaxed_at_work_while_working
2,0.693,0.818,-4.723,0.237,0.0737,0,0.417,0.74,relaxed_at_work_while_working
2,0.773,0.63,-8.039,0.432,0.142,1.92e-06,0.237,0.677,relaxed_at_work_while_working
2,0.807,0.693,-5.482,0.425,0.19,0,0.326,0.77,relaxed_at_work_while_working
2,0.765,0.601,-9.326,0.203,0.0225,0,0.385,0.368,relaxed_at_work_while_working
2,0.792,0.65,-7.196,0.352,0.00381,0,0.445,0.829,excited_at_work_while_working
2,0.818,0.794,-5.147,0.326,0.137,0,0.0995,0.725,excited_at_work_while_working
2,0.723,0.775,-8.345,0.435,0.592,0,0.0672,0.742,excited_at_work_while_working
2,0.849,0.633,-8.689,0.247,0.034,0.561,0.154,0.554,excited_at_work_while_working
2,0.745,0.781,-7.701,0.125,0.24,3.11e-06,0.1,0.843,relaxed_at_work_while_working
2,0.815,0.79,-10.218,0.0506,0.00866,0.529,0.0978,0.749,relaxed_at_work_while_working
2,0.536,0.853,-5.131,0.0419,0.00316,0,0.0951,0.611,sleepy_at_work_while_working
2,0.435,0.457,-10.698,0.0321,0.761,0.17,0.0884,0.435,sleepy_at_work_while_working
2,0.489,0.56,-8.801,0.0293,0.395,0.339,0.15,0.0727,calm_at_work_while_working
2,0.552,0.552,-9.736,0.0364,0.052,0,0.046,0.593,bored_at_work_while_working
2,0.625,0.726,-11.402,0.0444,0.0158,0.000169,0.0625,0.507,bored_at_work_while_working
2,0.33,0.469,-9.286,0.0335,0.31,2.3e-06,0.0402,0.433,bored_at_work_while_working
2,0.653,0.666,-7.808,0.0249,0.0508,0.0466,0.139,0.765,bored_at_work_while_working
2,0.729,0.356,-13.743,0.0347,0.0916,0.0905,0.052,0.392,bored_at_work_while_working
2,0.306,0.722,-5.963,0.034,0.0519,0,0.117,0.41,bored_at_work_while_working
2,0.448,0.35,-16.239,0.0393,0.147,2.27e-06,0.0842,0.234,bored_at_work_while_working
2,0.734,0.583,-11.866,0.129,0.125,0,0.0367,0.76,bored_at_work_while_working
2,0.384,0.25,-12.508,0.0356,0.856,0.0327,0.24,0.0547,bored_at_work_while_working
2,0.488,0.671,-9.906,0.0444,0.00101,0.942,0.114,0.75,bored_at_work_while_working
2,0.355,0.893,-3.921,0.0391,6.64e-05,0.0189,0.233,0.653,nervous_at_work_while_working
2,0.659,0.878,-5.987,0.0298,0.339,0.000543,0.0731,0.843,pleased_at_work_while_working
2,0.63,0.909,-7.142,0.0388,0.0431,8.17e-05,0.23,0.811,pleased_at_work_while_working
2,0.669,0.435,-9.646,0.0244,0.534,9.51e-06,0.0879,0.302,pleased_at_work_while_working
2,0.495,0.975,-6.075,0.042,0.0897,0.00457,0.432,0.91,pleased_at_work_while_working
2,0.47,0.621,-7.294,0.0268,0.135,0.00354,0.0846,0.307,pleased_at_work_while_working
2,0.592,0.825,-9.129,0.0478,0.0572,0.882,0.178,0.338,pleased_at_work_while_working
2,0.524,0.774,-8.077,0.0757,0.557,4.2e-06,0.966,0.495,pleased_at_work_while_working
2,0.659,0.878,-5.987,0.0298,0.339,0.000543,0.0731,0.843,pleased_at_work_while_working
2,0.63,0.909,-7.142,0.0388,0.0431,8.17e-05,0.23,0.811,pleased_at_work_while_working
2,0.659,0.878,-5.987,0.0298,0.339,0.000543,0.0731,0.843,pleased_at_work_while_working
2,0.63,0.909,-7.142,0.0388,0.0431,8.17e-05,0.23,0.811,pleased_at_work_while_working
3,0.668,0.26,-14.256,0.0523,0.453,0,0.0621,0.368,calm_at_other_while_commuting
3,0.401,0.381,-7.458,0.0274,0.7,0,0.122,0.229,calm_at_other_while_commuting
3,0.407,0.589,-5.32,0.03,0.547,0,0.281,0.559,calm_at_other_while_commuting
3,0.537,0.597,-8.081,0.394,0.719,0,0.828,0.699,calm_at_other_while_commuting
3,0.556,0.61,-4.729,0.213,0.833,2.22e-06,0.258,0.665,calm_at_other_while_commuting
3,0.692,0.493,-9.662,0.0325,0.0934,0.00166,0.128,0.28,calm_at_other_while_commuting
3,0.271,0.165,-20.652,0.0351,0.729,1.6e-06,0.118,0.203,calm_at_other_while_commuting
3,0.582,0.0766,-12.544,0.0603,0.866,0.00394,0.091,0.274,calm_at_other_while_commuting
3,0.59,0.355,-14.051,0.0352,0.48,0,0.0585,0.499,calm_at_other_while_commuting
3,0.805,0.558,-5.226,0.041,0.164,2.2e-05,0.0546,0.965,calm_at_other_while_commuting
3,0.44,0.147,-12.761,0.0359,0.963,0,0.1,0.354,calm_at_other_while_commuting
3,0.701,0.621,-10.577,0.0402,0.47,0.0163,0.0917,0.775,calm_at_other_while_commuting
3,0.536,0.874,-5.439,0.0838,0.0573,0.00038,0.1,0.819,calm_at_other_while_commuting
3,0.64,0.851,-6.351,0.0973,0.0836,0.000123,0.327,0.76,calm_at_other_while_commuting
3,0.573,0.512,-6.717,0.0329,0.788,0.00039,0.0844,0.53,calm_at_other_while_commuting
3,0.522,0.588,-8.928,0.0335,0.669,1.19e-05,0.387,0.654,calm_at_other_while_commuting
3,0.535,0.261,-15.341,0.0381,0.667,0.00151,0.146,0.195,calm_at_other_while_commuting
3,0.412,0.902,-11.6,0.405,0.0484,0.131,0.405,0.422,excited_at_home_while_ammusing
3,0.338,0.34,-12.049,0.0339,0.58,0.0032,0.116,0.197,excited_at_home_while_ammusing
3,0.415,0.658,-12.051,0.0696,4.52e-05,0.000735,0.176,0.45,excited_at_home_while_ammusing
3,0.336,0.792,-10.875,0.0848,0.00349,0.00178,0.0437,0.425,excited_at_home_while_ammusing
3,0.545,0.64,-9.937,0.224,0.00249,0.0304,0.196,0.606,excited_at_home_while_ammusing
3,0.544,0.939,-2.214,0.0581,0.041,0.000169,0.0743,0.457,excited_at_home_while_ammusing
3,0.558,0.364,-11.258,0.0265,0.0505,5.02e-06,0.0753,0.17,excited_at_home_while_ammusing
3,0.539,0.597,-9.581,0.0258,0.0108,0.00552,0.134,0.251,excited_at_home_while_ammusing
3,0.383,0.662,-5.162,0.0333,0.165,0,0.248,0.138,excited_at_home_while_ammusing
3,0.307,0.433,-10.057,0.029,0.388,9.08e-05,0.332,0.224,excited_at_home_while_ammusing
3,0.413,0.725,-5.787,0.0324,0.369,2.16e-05,0.0905,0.44,excited_at_home_while_ammusing
3,0.425,0.903,-4.801,0.0732,0.405,0.0128,0.117,0.769,excited_at_home_while_ammusing
3,0.354,0.731,-9.178,0.0381,0.0817,0.00119,0.115,0.698,excited_at_home_while_ammusing
3,0.664,0.579,-7.93,0.0337,0.455,0.00417,0.112,0.753,pleased_at_work_while_working
3,0.68,0.564,-7.751,0.0359,0.0586,0.769,0.063,0.496,pleased_at_work_while_working
3,0.677,0.484,-10.506,0.0324,0.077,4.75e-05,0.135,0.697,pleased_at_work_while_working
3,0.714,0.708,-8.873,0.0454,0.00958,0.841,0.0895,0.246,pleased_at_work_while_working
